               Exact      Appr
    0.0000   -0.0000    1.0310
    0.0500   -0.0500    1.0333
    0.1000   -0.0998    1.0003
    0.1500   -0.1494    0.9304
    0.2000   -0.1987    0.8263
    0.2500   -0.2474    0.6949
    0.3000   -0.2955    0.5461
    0.3500   -0.3429    0.3908
    0.4000   -0.3894    0.2390
    0.4500   -0.4350    0.0973
    0.5000   -0.4794   -0.0285
    0.5500   -0.5227   -0.1438
    0.6000   -0.5646   -0.2496
    0.6500   -0.6052   -0.3487
    0.7000   -0.6442   -0.4428
    0.7500   -0.6816   -0.5307
    0.8000   -0.7174   -0.6100
    0.8500   -0.7513   -0.6771
    0.9000   -0.7833   -0.7298
    0.9500   -0.8134   -0.7674
    1.0000   -0.8415   -0.7945
    1.0500   -0.8674   -0.8116
    1.1000   -0.8912   -0.8247
    1.1500   -0.9128   -0.8381
    1.2000   -0.9320   -0.8544
    1.2500   -0.9490   -0.8740
    1.3000   -0.9636   -0.8957
    1.3500   -0.9757   -0.9167
    1.4000   -0.9854   -0.9340
    1.4500   -0.9927   -0.9449
    1.5000   -0.9975   -0.9551
    1.5500   -0.9998   -0.9483
    1.6000   -0.9996   -0.9427
    1.6500   -0.9969   -0.9320
    1.7000   -0.9917   -0.9190
    1.7500   -0.9840   -0.9062
    1.8000   -0.9738   -0.8956
    1.8500   -0.9613   -0.8876
    1.9000   -0.9463   -0.8809
    1.9500   -0.9290   -0.8730
    2.0000   -0.9093   -0.8707
    2.0500   -0.8874   -0.8529
    2.1000   -0.8632   -0.8299
    2.1500   -0.8369   -0.7977
    2.2000   -0.8085   -0.7586
    2.2500   -0.7781   -0.7166
    2.3000   -0.7457   -0.6763
    2.3500   -0.7115   -0.6411
    2.4000   -0.6755   -0.6121
    2.4500   -0.6378   -0.5873
    2.5000   -0.5985   -0.5730
    2.5500   -0.5577   -0.5486
    2.6000   -0.5155   -0.5139
    2.6500   -0.4720   -0.4681
    2.7000   -0.4274   -0.4124
    2.7500   -0.3817   -0.3515
    2.8000   -0.3350   -0.2914
    2.8500   -0.2875   -0.2377
    2.9000   -0.2392   -0.1935
    2.9500   -0.1904   -0.1578
    3.0000   -0.1411   -0.1351
    3.0500   -0.0915   -0.1100
    3.1000   -0.0416   -0.0721
    3.1500    0.0084   -0.0238
    3.2000    0.0584    0.0347
    3.2500    0.1082    0.0996
    3.3000    0.1577    0.1649
    3.3500    0.2069    0.2239
    3.4000    0.2555    0.2726
    3.4500    0.3035    0.3103
    3.5000    0.3508    0.3359
    3.5500    0.3971    0.3555
    3.6000    0.4425    0.3874
    3.6500    0.4868    0.4262
    3.7000    0.5298    0.4733
    3.7500    0.5716    0.5264
    3.8000    0.6119    0.5807
    3.8500    0.6506    0.6307
    3.9000    0.6878    0.6719
    3.9500    0.7232    0.7024
    4.0000    0.7568    0.7247
    4.0500    0.7885    0.7340
    4.1000    0.8183    0.7520
    4.1500    0.8460    0.7719
    4.2000    0.8716    0.7960
    4.2500    0.8950    0.8243
    4.3000    0.9162    0.8544
    4.3500    0.9351    0.8831
    4.4000    0.9516    0.9067
    4.4500    0.9658    0.9226
    4.5000    0.9775    0.9360
    4.5500    0.9868    0.9328
    4.6000    0.9937    0.9325
    4.6500    0.9981    0.9286
    4.7000    0.9999    0.9239
    4.7500    0.9993    0.9203
    4.8000    0.9962    0.9189
    4.8500    0.9905    0.9192
    4.9000    0.9825    0.9195
    4.9500    0.9719    0.9169
    5.0000    0.9589    0.9182
    5.0500    0.9435    0.9032
    5.1000    0.9258    0.8847
    5.1500    0.9058    0.8580
    5.2000    0.8835    0.8255
    5.2500    0.8589    0.7911
    5.3000    0.8323    0.7584
    5.3500    0.8035    0.7303
    5.4000    0.7728    0.7072
    5.4500    0.7401    0.6867
    5.5000    0.7055    0.6756
    5.5500    0.6692    0.6525
    5.6000    0.6313    0.6203
    5.6500    0.5917    0.5773
    5.7000    0.5507    0.5251
    5.7500    0.5083    0.4681
    5.8000    0.4646    0.4123
    5.8500    0.4198    0.3626
    5.9000    0.3739    0.3217
    5.9500    0.3271    0.2883
    6.0000    0.2794    0.2675
    6.0500    0.2311    0.2420
    6.1000    0.1822    0.2040
    6.1500    0.1328    0.1552
    6.2000    0.0831    0.0960
    6.2500    0.0332    0.0306
    6.3000   -0.0168   -0.0349
    6.3500   -0.0668   -0.0939
    6.4000   -0.1165   -0.1425
    6.4500   -0.1660   -0.1806
    6.5000   -0.2151   -0.2060
    6.5500   -0.2637   -0.2277
    6.6000   -0.3115   -0.2623
    6.6500   -0.3586   -0.3048
    6.7000   -0.4048   -0.3565
    6.7500   -0.4500   -0.4145
    6.8000   -0.4941   -0.4734
    6.8500   -0.5369   -0.5274
    6.9000   -0.5784   -0.5718
    6.9500   -0.6185   -0.6053
    7.0000   -0.6570   -0.6291
    7.0500   -0.6938   -0.6417
    7.1000   -0.7290   -0.6643
    7.1500   -0.7623   -0.6902
    7.2000   -0.7937   -0.7217
    7.2500   -0.8231   -0.7580
    7.3000   -0.8504   -0.7961
    7.3500   -0.8757   -0.8318
    7.4000   -0.8987   -0.8612
    7.4500   -0.9195   -0.8818
    7.5000   -0.9380   -0.8981
    7.5500   -0.9542   -0.8985
    7.6000   -0.9679   -0.9037
    7.6500   -0.9793   -0.9067
    7.7000   -0.9882   -0.9103
    7.7500   -0.9946   -0.9160
    7.8000   -0.9985   -0.9239
    7.8500   -1.0000   -0.9325
    7.9000   -0.9989   -0.9397
    7.9500   -0.9954   -0.9424
    8.0000   -0.9894   -0.9473
    8.0500   -0.9808   -0.9354
    8.1000   -0.9699   -0.9218
    8.1500   -0.9565   -0.9011
    8.2000   -0.9407   -0.8759
    8.2500   -0.9226   -0.8497
    8.3000   -0.9022   -0.8254
    8.3500   -0.8795   -0.8050
    8.4000   -0.8546   -0.7881
    8.4500   -0.8276   -0.7723
    8.5000   -0.7985   -0.7646
    8.5500   -0.7674   -0.7433
    8.6000   -0.7344   -0.7143
    8.6500   -0.6996   -0.6749
    8.7000   -0.6630   -0.6272
    8.7500   -0.6247   -0.5754
    8.8000   -0.5849   -0.5249
    8.8500   -0.5436   -0.4803
    8.9000   -0.5010   -0.4436
    8.9500   -0.4571   -0.4131
    9.0000   -0.4121   -0.3840
    9.0500   -0.3661   -0.3522
    9.1000   -0.3191   -0.3055
    9.1500   -0.2713   -0.2436
    9.2000   -0.2229   -0.1659
    9.2500   -0.1739   -0.0756
    9.3000   -0.1245    0.0222
    9.3500   -0.0747    0.1220
    9.4000   -0.0248    0.2203
    9.4500    0.0252    0.3164
    9.5000    0.0752    0.4122
    9.5500    0.1249    0.5057
    9.6000    0.1743    0.6115
    9.6500    0.2233    0.7207
    9.7000    0.2718    0.8296
    9.7500    0.3195    0.9312
    9.8000    0.3665    1.0169
    9.8500    0.4125    1.0791
    9.9000    0.4575    1.1123
    9.9500    0.5014    1.1145
   10.0000    0.5440    1.0873
