                  N1       N11       N21
    0.0000   -1.7119    0.0000    0.0000
    0.0500   -1.5820    0.0000    0.0000
    0.1000   -1.3527    0.0000    0.0000
    0.1500   -1.0233    0.0000    0.0000
    0.2000   -0.6055    0.0000    0.0000
    0.2500   -0.1236    0.0000    0.0000
    0.3000    0.3876    0.0000    0.0000
    0.3500    0.8871    0.0000    0.0000
    0.4000    1.3349    0.0000    0.0000
    0.4500    1.6971    0.0000    0.0000
    0.5000    1.9511    0.0000    0.0000
    0.5500    2.0886    0.0000    0.0000
    0.6000    2.1130    0.0000    0.0000
    0.6500    2.0385    0.0000    0.0000
    0.7000    1.8862    0.0000    0.0000
    0.7500    1.6805    0.0000    0.0000
    0.8000    1.4457    0.0000    0.0000
    0.8500    1.2034    0.0000    0.0000
    0.9000    0.9711    0.0000    0.0000
    0.9500    0.7607    0.0000    0.0000
    1.0000    0.5793    0.0000    0.0000
    1.0500    0.4293    0.0000    0.0000
    1.1000    0.3099    0.0000    0.0000
    1.1500    0.2180    0.0000    0.0000
    1.2000    0.1497    0.0000    0.0000
    1.2500    0.1002    0.0000    0.0000
    1.3000    0.0655    0.0000    0.0000
    1.3500    0.0418    0.0000    0.0000
    1.4000    0.0261    0.0000    0.0000
    1.4500    0.0159    0.0000    0.0000
    1.5000    0.0095    0.0000    0.0000
    1.5500    0.0000    0.0000    0.0000
    1.6000    0.0000    0.0000    0.0000
    1.6500    0.0000    0.0000    0.0000
    1.7000    0.0000    0.0000    0.0000
    1.7500    0.0000    0.0000    0.0000
    1.8000    0.0000    0.0000    0.0000
    1.8500    0.0000    0.0000    0.0000
    1.9000    0.0000    0.0000    0.0000
    1.9500    0.0000    0.0000    0.0000
    2.0000    0.0000    0.0000    0.0000
    2.0500    0.0000    0.0000    0.0000
    2.1000    0.0000    0.0000    0.0000
    2.1500    0.0000    0.0000    0.0000
    2.2000    0.0000    0.0000    0.0000
    2.2500    0.0000    0.0000    0.0000
    2.3000    0.0000    0.0000    0.0000
    2.3500    0.0000    0.0000    0.0000
    2.4000    0.0000    0.0000    0.0000
    2.4500    0.0000    0.0000    0.0000
    2.5000    0.0000    0.0000    0.0000
    2.5500    0.0000    0.0000    0.0000
    2.6000    0.0000    0.0000    0.0000
    2.6500    0.0000    0.0000    0.0000
    2.7000    0.0000    0.0000    0.0000
    2.7500    0.0000    0.0000    0.0000
    2.8000    0.0000    0.0000    0.0000
    2.8500    0.0000    0.0000    0.0000
    2.9000    0.0000    0.0000    0.0000
    2.9500    0.0000    0.0000    0.0000
    3.0000    0.0000    0.0000    0.0000
    3.0500    0.0000    0.0000    0.0000
    3.1000    0.0000    0.0000    0.0000
    3.1500    0.0000    0.0000    0.0000
    3.2000    0.0000    0.0000    0.0000
    3.2500    0.0000    0.0000    0.0000
    3.3000    0.0000    0.0000    0.0000
    3.3500    0.0000    0.0000    0.0000
    3.4000    0.0000    0.0000    0.0000
    3.4500    0.0000    0.0000    0.0000
    3.5000    0.0000    0.0095    0.0000
    3.5500    0.0000    0.0159    0.0000
    3.6000    0.0000    0.0261    0.0000
    3.6500    0.0000    0.0418    0.0000
    3.7000    0.0000    0.0655    0.0000
    3.7500    0.0000    0.1002    0.0000
    3.8000    0.0000    0.1497    0.0000
    3.8500    0.0000    0.2180    0.0000
    3.9000    0.0000    0.3099    0.0000
    3.9500    0.0000    0.4293    0.0000
    4.0000    0.0000    0.5791    0.0000
    4.0500    0.0000    0.7601    0.0000
    4.1000    0.0000    0.9696    0.0000
    4.1500    0.0000    1.2000    0.0000
    4.2000    0.0000    1.4381    0.0000
    4.2500    0.0000    1.6650    0.0000
    4.3000    0.0000    1.8558    0.0000
    4.3500    0.0000    1.9815    0.0000
    4.4000    0.0000    2.0111    0.0000
    4.4500    0.0000    1.9146    0.0000
    4.5000    0.0000    1.6645    0.0000
    4.5500    0.0000    1.2506    0.0000
    4.6000    0.0000    0.6710    0.0000
    4.6500    0.0000   -0.0543    0.0000
    4.7000    0.0000   -0.8855    0.0000
    4.7500    0.0000   -1.7652    0.0000
    4.8000    0.0000   -2.6236    0.0000
    4.8500    0.0000   -3.3871    0.0000
    4.9000    0.0000   -3.9876    0.0000
    4.9500    0.0000   -4.3705    0.0000
