               Exact      Appr
    0.0000    1.0000    0.4375
    0.0500    0.9988    0.4893
    0.1000    0.9950    0.5403
    0.1500    0.9888    0.5887
    0.2000    0.9801    0.6327
    0.2500    0.9689    0.6709
    0.3000    0.9553    0.7019
    0.3500    0.9394    0.7254
    0.4000    0.9211    0.7411
    0.4500    0.9004    0.7494
    0.5000    0.8776    0.7514
    0.5500    0.8525    0.7470
    0.6000    0.8253    0.7372
    0.6500    0.7961    0.7222
    0.7000    0.7648    0.7024
    0.7500    0.7317    0.6780
    0.8000    0.6967    0.6495
    0.8500    0.6600    0.6172
    0.9000    0.6216    0.5820
    0.9500    0.5817    0.5445
    1.0000    0.5403    0.5053
    1.0500    0.4976    0.4651
    1.1000    0.4536    0.4242
    1.1500    0.4085    0.3827
    1.2000    0.3624    0.3404
    1.2500    0.3153    0.2972
    1.3000    0.2675    0.2529
    1.3500    0.2190    0.2076
    1.4000    0.1700    0.1613
    1.4500    0.1205    0.1143
    1.5000    0.0707    0.0663
    1.5500    0.0208    0.0181
    1.6000   -0.0292   -0.0292
    1.6500   -0.0791   -0.0761
    1.7000   -0.1288   -0.1224
    1.7500   -0.1782   -0.1680
    1.8000   -0.2272   -0.2130
    1.8500   -0.2756   -0.2576
    1.9000   -0.3233   -0.3018
    1.9500   -0.3702   -0.3457
    2.0000   -0.4161   -0.3900
    2.0500   -0.4611   -0.4333
    2.1000   -0.5048   -0.4755
    2.1500   -0.5474   -0.5162
    2.2000   -0.5885   -0.5551
    2.2500   -0.6282   -0.5920
    2.3000   -0.6663   -0.6268
    2.3500   -0.7027   -0.6597
    2.4000   -0.7374   -0.6910
    2.4500   -0.7702   -0.7210
    2.5000   -0.8011   -0.7508
    2.5500   -0.8301   -0.7787
    2.6000   -0.8569   -0.8053
    2.6500   -0.8816   -0.8299
    2.7000   -0.9041   -0.8520
    2.7500   -0.9243   -0.8711
    2.8000   -0.9422   -0.8871
    2.8500   -0.9578   -0.9003
    2.9000   -0.9710   -0.9110
    2.9500   -0.9817   -0.9198
    3.0000   -0.9900   -0.9278
    3.0500   -0.9958   -0.9334
    3.1000   -0.9991   -0.9380
    3.1500   -1.0000   -0.9404
    3.2000   -0.9983   -0.9402
    3.2500   -0.9941   -0.9369
    3.3000   -0.9875   -0.9302
    3.3500   -0.9784   -0.9205
    3.4000   -0.9668   -0.9080
    3.4500   -0.9528   -0.8934
    3.5000   -0.9365   -0.8777
    3.5500   -0.9178   -0.8596
    3.6000   -0.8968   -0.8410
    3.6500   -0.8735   -0.8207
    3.7000   -0.8481   -0.7983
    3.7500   -0.8206   -0.7733
    3.8000   -0.7910   -0.7456
    3.8500   -0.7594   -0.7153
    3.9000   -0.7259   -0.6827
    3.9500   -0.6907   -0.6483
    4.0000   -0.6536   -0.6126
    4.0500   -0.6150   -0.5753
    4.1000   -0.5748   -0.5381
