                  N1       N11       N21
    0.0000   -0.8432   -0.0000   -0.0000
    0.0500   -0.9259   -0.0000   -0.0000
    0.1000   -0.9997   -0.0000   -0.0000
    0.1500   -1.0595   -0.0000   -0.0000
    0.2000   -1.1006   -0.0000   -0.0000
    0.2500   -1.1190   -0.0000   -0.0000
    0.3000   -1.1124   -0.0000   -0.0000
    0.3500   -1.0804   -0.0000   -0.0000
    0.4000   -1.0246   -0.0000   -0.0000
    0.4500   -0.9484   -0.0000   -0.0000
    0.5000   -0.8569   -0.0000   -0.0000
    0.5500   -0.7554   -0.0000   -0.0000
    0.6000   -0.6499   -0.0000   -0.0000
    0.6500   -0.5457   -0.0000   -0.0000
    0.7000   -0.4473   -0.0000   -0.0000
    0.7500   -0.3580   -0.0000   -0.0000
    0.8000   -0.2798   -0.0000   -0.0000
    0.8500   -0.2135   -0.0000   -0.0000
    0.9000   -0.1593   -0.0000   -0.0000
    0.9500   -0.1161   -0.0000   -0.0000
    1.0000   -0.0827   -0.0000   -0.0000
    1.0500   -0.0576    0.0000    0.0000
    1.1000   -0.0393    0.0000    0.0000
    1.1500   -0.0262    0.0000    0.0000
    1.2000   -0.0171    0.0000    0.0000
    1.2500   -0.0109    0.0000    0.0000
    1.3000   -0.0068   -0.0000   -0.0000
    1.3500   -0.0042   -0.0000   -0.0000
    1.4000   -0.0025   -0.0000   -0.0000
    1.4500   -0.0015   -0.0000   -0.0000
    1.5000   -0.0008   -0.0000   -0.0000
    1.5500    0.0000    0.0000    0.0000
    1.6000    0.0000    0.0000    0.0000
    1.6500    0.0000    0.0000    0.0000
    1.7000    0.0000    0.0000    0.0000
    1.7500    0.0000    0.0000    0.0000
    1.8000    0.0000   -0.0000   -0.0000
    1.8500    0.0000   -0.0000   -0.0000
    1.9000    0.0000   -0.0000   -0.0000
    1.9500    0.0000   -0.0000   -0.0000
    2.0000    0.0000   -0.0000   -0.0000
    2.0500    0.0000    0.0000    0.0000
    2.1000    0.0000    0.0000    0.0000
    2.1500    0.0000    0.0000    0.0000
    2.2000    0.0000    0.0000    0.0000
    2.2500    0.0000    0.0000    0.0000
    2.3000    0.0000   -0.0000   -0.0000
    2.3500    0.0000   -0.0000   -0.0000
    2.4000    0.0000   -0.0000   -0.0000
    2.4500    0.0000   -0.0000   -0.0000
    2.5000    0.0000   -0.0000   -0.0000
    2.5500    0.0000    0.0000    0.0000
    2.6000    0.0000    0.0000    0.0000
    2.6500    0.0000    0.0000    0.0000
    2.7000    0.0000    0.0000    0.0000
    2.7500    0.0000    0.0000    0.0000
    2.8000    0.0000   -0.0000   -0.0000
    2.8500    0.0000   -0.0000   -0.0000
    2.9000    0.0000   -0.0000   -0.0000
    2.9500    0.0000   -0.0000   -0.0000
    3.0000    0.0000   -0.0000   -0.0000
    3.0500    0.0000    0.0000    0.0000
    3.1000    0.0000    0.0000    0.0000
    3.1500    0.0000    0.0000    0.0000
    3.2000    0.0000    0.0000    0.0000
    3.2500    0.0000    0.0000    0.0000
    3.3000    0.0000   -0.0000   -0.0000
    3.3500    0.0000   -0.0000   -0.0000
    3.4000    0.0000   -0.0000   -0.0000
    3.4500    0.0000   -0.0000   -0.0000
    3.5000    0.0000    0.0008   -0.0000
    3.5500    0.0000    0.0015    0.0000
    3.6000    0.0000    0.0025    0.0000
    3.6500    0.0000    0.0042    0.0000
    3.7000    0.0000    0.0068    0.0000
    3.7500    0.0000    0.0109    0.0000
    3.8000    0.0000    0.0171   -0.0000
    3.8500    0.0000    0.0262   -0.0000
    3.9000    0.0000    0.0393   -0.0000
    3.9500    0.0000    0.0576   -0.0000
    4.0000    0.0000    0.0827   -0.0000
    4.0500    0.0000    0.1160    0.0000
    4.1000    0.0000    0.1592    0.0000
    4.1500    0.0000    0.2134    0.0000
    4.2000    0.0000    0.2793    0.0000
    4.2500    0.0000    0.3570    0.0000
    4.3000    0.0000    0.4452   -0.0000
    4.3500    0.0000    0.5415   -0.0000
    4.4000    0.0000    0.6418   -0.0000
    4.4500    0.0000    0.7405   -0.0000
    4.5000    0.0000    0.8305   -0.0000
    4.5500    0.0000    0.9040    0.0000
    4.6000    0.0000    0.9527    0.0000
    4.6500    0.0000    0.9686    0.0000
    4.7000    0.0000    0.9455    0.0000
    4.7500    0.0000    0.8792    0.0000
    4.8000    0.0000    0.7693   -0.0000
    4.8500    0.0000    0.6185   -0.0000
    4.9000    0.0000    0.4333   -0.0000
    4.9500    0.0000    0.2233   -0.0000
    5.0000    0.0000   -0.0000   -0.0000
    5.0500    0.0000   -0.2233    0.0000
    5.1000    0.0000   -0.4333    0.0000
    5.1500    0.0000   -0.6185    0.0000
    5.2000    0.0000   -0.7693    0.0000
    5.2500    0.0000   -0.8792    0.0000
    5.3000    0.0000   -0.9455   -0.0000
    5.3500    0.0000   -0.9686   -0.0000
    5.4000    0.0000   -0.9527   -0.0000
    5.4500    0.0000   -0.9040   -0.0000
    5.5000    0.0000   -0.8305   -0.0000
    5.5500    0.0000   -0.7405    0.0000
    5.6000    0.0000   -0.6418    0.0000
    5.6500    0.0000   -0.5415    0.0000
    5.7000    0.0000   -0.4452    0.0000
    5.7500    0.0000   -0.3570    0.0000
    5.8000    0.0000   -0.2793   -0.0000
    5.8500    0.0000   -0.2134   -0.0000
    5.9000    0.0000   -0.1592   -0.0000
    5.9500    0.0000   -0.1160   -0.0000
    6.0000    0.0000   -0.0827   -0.0000
    6.0500    0.0000   -0.0576    0.0000
    6.1000    0.0000   -0.0393    0.0000
    6.1500    0.0000   -0.0262    0.0000
    6.2000    0.0000   -0.0171    0.0000
    6.2500    0.0000   -0.0109    0.0000
    6.3000    0.0000   -0.0068   -0.0000
    6.3500    0.0000   -0.0042   -0.0000
    6.4000    0.0000   -0.0025   -0.0000
    6.4500    0.0000   -0.0015   -0.0000
    6.5000    0.0000   -0.0008   -0.0000
    6.5500    0.0000    0.0000    0.0000
    6.6000    0.0000    0.0000    0.0000
    6.6500    0.0000    0.0000    0.0000
    6.7000    0.0000    0.0000    0.0000
    6.7500    0.0000    0.0000    0.0000
    6.8000    0.0000    0.0000   -0.0000
    6.8500    0.0000    0.0000   -0.0000
    6.9000    0.0000    0.0000   -0.0000
    6.9500    0.0000    0.0000   -0.0000
    7.0000    0.0000    0.0000   -0.0000
    7.0500    0.0000    0.0000    0.0000
    7.1000    0.0000    0.0000    0.0000
    7.1500    0.0000    0.0000    0.0000
    7.2000    0.0000    0.0000    0.0000
    7.2500    0.0000    0.0000    0.0000
    7.3000    0.0000    0.0000   -0.0000
    7.3500    0.0000    0.0000   -0.0000
    7.4000    0.0000    0.0000   -0.0000
    7.4500    0.0000    0.0000   -0.0000
    7.5000    0.0000    0.0000   -0.0000
    7.5500    0.0000    0.0000    0.0000
    7.6000    0.0000    0.0000    0.0000
    7.6500    0.0000    0.0000    0.0000
    7.7000    0.0000    0.0000    0.0000
    7.7500    0.0000    0.0000    0.0000
    7.8000    0.0000    0.0000   -0.0000
    7.8500    0.0000    0.0000   -0.0000
    7.9000    0.0000    0.0000   -0.0000
    7.9500    0.0000    0.0000   -0.0000
    8.0000    0.0000    0.0000   -0.0000
    8.0500    0.0000    0.0000    0.0000
    8.1000    0.0000    0.0000    0.0000
    8.1500    0.0000    0.0000    0.0000
    8.2000    0.0000    0.0000    0.0000
    8.2500    0.0000    0.0000    0.0000
    8.3000    0.0000    0.0000   -0.0000
    8.3500    0.0000    0.0000   -0.0000
    8.4000    0.0000    0.0000   -0.0000
    8.4500    0.0000    0.0000   -0.0000
    8.5000    0.0000    0.0000    0.0008
    8.5500    0.0000    0.0000    0.0015
    8.6000    0.0000    0.0000    0.0025
    8.6500    0.0000    0.0000    0.0042
    8.7000    0.0000    0.0000    0.0068
    8.7500    0.0000    0.0000    0.0109
    8.8000    0.0000    0.0000    0.0171
    8.8500    0.0000    0.0000    0.0262
    8.9000    0.0000    0.0000    0.0393
    8.9500    0.0000    0.0000    0.0576
    9.0000    0.0000    0.0000    0.0827
    9.0500    0.0000    0.0000    0.1161
    9.1000    0.0000    0.0000    0.1593
    9.1500    0.0000    0.0000    0.2135
    9.2000    0.0000    0.0000    0.2798
    9.2500    0.0000    0.0000    0.3580
    9.3000    0.0000    0.0000    0.4473
    9.3500    0.0000    0.0000    0.5457
    9.4000    0.0000    0.0000    0.6499
    9.4500    0.0000    0.0000    0.7554
    9.5000    0.0000    0.0000    0.8569
    9.5500    0.0000    0.0000    0.9484
    9.6000    0.0000    0.0000    1.0246
    9.6500    0.0000    0.0000    1.0804
    9.7000    0.0000    0.0000    1.1124
    9.7500    0.0000    0.0000    1.1190
    9.8000    0.0000    0.0000    1.1006
    9.8500    0.0000    0.0000    1.0595
    9.9000    0.0000    0.0000    0.9997
    9.9500    0.0000    0.0000    0.9259
   10.0000    0.0000    0.0000    0.8432
