               Exact      Appr
    0.0000    0.0000    0.1383
    0.0500    0.0500    0.1614
    0.1000    0.0998    0.1872
    0.1500    0.1494    0.2154
    0.2000    0.1987    0.2460
    0.2500    0.2474    0.2786
    0.3000    0.2955    0.3129
    0.3500    0.3429    0.3487
    0.4000    0.3894    0.3854
    0.4500    0.4350    0.4226
    0.5000    0.4794    0.4602
    0.5500    0.5227    0.4977
    0.6000    0.5646    0.5348
    0.6500    0.6052    0.5713
    0.7000    0.6442    0.6069
    0.7500    0.6816    0.6415
    0.8000    0.7174    0.6747
    0.8500    0.7513    0.7063
    0.9000    0.7833    0.7363
    0.9500    0.8134    0.7645
    1.0000    0.8415    0.7908
    1.0500    0.8674    0.8150
    1.1000    0.8912    0.8373
    1.1500    0.9128    0.8574
    1.2000    0.9320    0.8755
    1.2500    0.9490    0.8915
    1.3000    0.9636    0.9052
    1.3500    0.9757    0.9167
    1.4000    0.9854    0.9260
    1.4500    0.9927    0.9329
    1.5000    0.9975    0.9374
    1.5500    0.9998    0.9395
    1.6000    0.9996    0.9392
    1.6500    0.9969    0.9366
    1.7000    0.9917    0.9316
    1.7500    0.9840    0.9243
    1.8000    0.9738    0.9148
    1.8500    0.9613    0.9030
    1.9000    0.9463    0.8891
    1.9500    0.9290    0.8729
    2.0000    0.9093    0.8545
    2.0500    0.8874    0.8339
    2.1000    0.8632    0.8112
    2.1500    0.8369    0.7864
    2.2000    0.8085    0.7596
    2.2500    0.7781    0.7309
    2.3000    0.7457    0.7004
    2.3500    0.7115    0.6683
    2.4000    0.6755    0.6345
    2.4500    0.6378    0.5992
    2.5000    0.5985    0.5624
    2.5500    0.5577    0.5242
    2.6000    0.5155    0.4846
    2.6500    0.4720    0.4437
    2.7000    0.4274    0.4016
    2.7500    0.3817    0.3585
    2.8000    0.3350    0.3146
    2.8500    0.2875    0.2699
    2.9000    0.2392    0.2246
    2.9500    0.1904    0.1788
    3.0000    0.1411    0.1326
    3.0500    0.0915    0.0861
    3.1000    0.0416    0.0393
    3.1500   -0.0084   -0.0077
    3.2000   -0.0584   -0.0547
    3.2500   -0.1082   -0.1016
    3.3000   -0.1577   -0.1483
    3.3500   -0.2069   -0.1946
    3.4000   -0.2555   -0.2403
    3.4500   -0.3035   -0.2854
    3.5000   -0.3508   -0.3296
    3.5500   -0.3971   -0.3731
    3.6000   -0.4425   -0.4156
    3.6500   -0.4868   -0.4571
    3.7000   -0.5298   -0.4976
    3.7500   -0.5716   -0.5369
    3.8000   -0.6119   -0.5749
    3.8500   -0.6506   -0.6114
    3.9000   -0.6878   -0.6464
    3.9500   -0.7232   -0.6797
    4.0000   -0.7568   -0.7112
    4.0500   -0.7885   -0.7409
    4.1000   -0.8183   -0.7687
    4.1500   -0.8460   -0.7947
    4.2000   -0.8716   -0.8187
    4.2500   -0.8950   -0.8407
    4.3000   -0.9162   -0.8607
