                  N1       N11       N21
    0.0000    0.7215    0.0000    0.0000
    0.0500    0.6772    0.0000    0.0000
    0.1000    0.6291    0.0000    0.0000
    0.1500    0.5775    0.0000    0.0000
    0.2000    0.5234    0.0000    0.0000
    0.2500    0.4678    0.0000    0.0000
    0.3000    0.4119    0.0000    0.0000
    0.3500    0.3570    0.0000    0.0000
    0.4000    0.3043    0.0000    0.0000
    0.4500    0.2549    0.0000    0.0000
    0.5000    0.2097    0.0000    0.0000
    0.5500    0.1694    0.0000    0.0000
    0.6000    0.1342    0.0000    0.0000
    0.6500    0.1044    0.0000    0.0000
    0.7000    0.0796    0.0000    0.0000
    0.7500    0.0595    0.0000    0.0000
    0.8000    0.0436    0.0000    0.0000
    0.8500    0.0313    0.0000    0.0000
    0.9000    0.0220    0.0000    0.0000
    0.9500    0.0152    0.0000    0.0000
    1.0000    0.0103    0.0000    0.0000
    1.0500    0.0068    0.0000    0.0000
    1.1000    0.0044    0.0000    0.0000
    1.1500    0.0028    0.0000    0.0000
    1.2000    0.0017    0.0000    0.0000
    1.2500    0.0010    0.0000    0.0000
    1.3000    0.0006    0.0000    0.0000
    1.3500    0.0003    0.0000    0.0000
    1.4000    0.0002    0.0000    0.0000
    1.4500    0.0001    0.0000    0.0000
    1.5000    0.0000    0.0000    0.0000
    1.5500    0.0000    0.0000    0.0000
    1.6000    0.0000    0.0000    0.0000
    1.6500    0.0000    0.0000    0.0000
    1.7000    0.0000    0.0000    0.0000
    1.7500    0.0000    0.0000    0.0000
    1.8000    0.0000    0.0000    0.0000
    1.8500    0.0000    0.0000    0.0000
    1.9000    0.0000    0.0000    0.0000
    1.9500    0.0000    0.0000    0.0000
    2.0000    0.0000    0.0000    0.0000
    2.0500    0.0000    0.0000    0.0000
    2.1000    0.0000    0.0000    0.0000
    2.1500    0.0000    0.0000    0.0000
    2.2000    0.0000    0.0000    0.0000
    2.2500    0.0000    0.0000    0.0000
    2.3000    0.0000    0.0000    0.0000
    2.3500    0.0000    0.0000    0.0000
    2.4000    0.0000    0.0000    0.0000
    2.4500    0.0000    0.0000    0.0000
    2.5000    0.0000    0.0000    0.0000
    2.5500    0.0000    0.0000    0.0000
    2.6000    0.0000    0.0000    0.0000
    2.6500    0.0000    0.0000    0.0000
    2.7000    0.0000    0.0000    0.0000
    2.7500    0.0000    0.0000    0.0000
    2.8000    0.0000    0.0000    0.0000
    2.8500    0.0000    0.0000    0.0000
    2.9000    0.0000    0.0000    0.0000
    2.9500    0.0000    0.0000    0.0000
    3.0000    0.0000    0.0000    0.0000
    3.0500    0.0000    0.0000    0.0000
    3.1000    0.0000    0.0000    0.0000
    3.1500    0.0000    0.0000    0.0000
    3.2000    0.0000    0.0000    0.0000
    3.2500    0.0000    0.0000    0.0000
    3.3000    0.0000    0.0000    0.0000
    3.3500    0.0000    0.0000    0.0000
    3.4000    0.0000    0.0000    0.0000
    3.4500    0.0000    0.0000    0.0000
    3.5000    0.0000    0.0000    0.0000
    3.5500    0.0000    0.0001    0.0000
    3.6000    0.0000    0.0002    0.0000
    3.6500    0.0000    0.0003    0.0000
    3.7000    0.0000    0.0006    0.0000
    3.7500    0.0000    0.0010    0.0000
    3.8000    0.0000    0.0017    0.0000
    3.8500    0.0000    0.0028    0.0000
    3.9000    0.0000    0.0044    0.0000
    3.9500    0.0000    0.0068    0.0000
    4.0000    0.0000    0.0103    0.0000
