Line#,Date,"Solar Radiation (S-LIB 10455351:10444880-1), W/m^2, Pyranometer 1","Temperature (S-TMB 10455351:10138775-1), *C","Current (91-U30-CVIA 10455351:10417917-2), mA","Voltage (91-U30-CVIA 10455351:10417917-1), V","Battery (U30 BATTERY 10455351:10455351-B), V"
1,06/12/14 11:50:00,774,,0.000,-0.199,4.50
2,06/12/14 11:51:00,776,,0.000,-0.199,4.51
3,06/12/14 11:52:00,774,,0.000,-0.199,4.51
4,06/12/14 11:53:00,778,,0.000,-0.199,4.51
5,06/12/14 11:54:00,779,,0.000,-0.199,4.51
6,06/12/14 11:55:00,779,,0.000,-0.199,4.51
7,06/12/14 11:56:00,779,,0.000,-0.199,4.51
8,06/12/14 11:57:00,784,,0.000,-0.199,4.52
9,06/12/14 11:58:00,786,,0.000,-0.199,4.50
10,06/12/14 11:59:00,786,,0.000,-0.199,4.51
11,06/12/14 12:00:00,781,,0.000,-0.199,4.51
12,06/12/14 12:01:00,778,,0.000,-0.199,4.51
13,06/12/14 12:02:00,787,,0.000,-0.199,4.51
14,06/12/14 12:03:00,789,,0.000,-0.199,4.51
15,06/12/14 12:04:00,789,,0.000,-0.199,4.51
16,06/12/14 12:05:00,794,,0.000,-0.199,4.51
17,06/12/14 12:06:00,798,,0.000,-0.199,4.51
18,06/12/14 12:07:00,798,,0.000,-0.199,4.51
19,06/12/14 12:08:00,802,,0.000,-0.199,4.50
20,06/12/14 12:09:00,801,,0.000,-0.199,4.51
21,06/12/14 12:10:00,802,,0.000,-0.199,4.51
22,06/12/14 12:11:00,802,,0.000,-0.199,4.51
23,06/12/14 12:12:00,804,,0.000,-0.199,4.51
24,06/12/14 12:13:00,806,,0.000,-0.199,4.51
25,06/12/14 12:14:00,807,,0.000,-0.199,4.51
26,06/12/14 12:15:00,811,,0.000,-0.199,4.51
27,06/12/14 12:16:00,813,,0.000,-0.199,4.51
28,06/12/14 12:17:00,811,,0.000,-0.199,4.51
29,06/12/14 12:18:00,812,,0.000,-0.199,4.50
30,06/12/14 12:19:00,819,,0.000,-0.199,4.51
31,06/12/14 12:20:00,822,,0.000,-0.199,4.51
32,06/12/14 12:21:00,829,,0.000,-0.199,4.51
33,06/12/14 12:22:00,834,,0.000,-0.199,4.51
34,06/12/14 12:23:00,838,,0.000,-0.199,4.51
35,06/12/14 12:24:00,842,,0.000,-0.199,4.51
36,06/12/14 12:25:00,847,,0.000,-0.199,4.51
37,06/12/14 12:26:00,843,,0.000,-0.199,4.51
38,06/12/14 12:27:00,838,,0.000,-0.199,4.54
39,06/12/14 12:28:00,841,,0.000,-0.199,4.50
40,06/12/14 12:29:00,842,,0.000,-0.199,4.51
41,06/12/14 12:30:00,841,,0.000,-0.199,4.51
42,06/12/14 12:31:00,852,,0.000,-0.199,4.51
43,06/12/14 12:32:00,866,,0.000,-0.199,4.51
44,06/12/14 12:33:00,866,,0.000,-0.199,4.51
45,06/12/14 12:34:00,544,,0.000,-0.199,4.51
46,06/12/14 12:35:00,863,,0.000,-0.199,4.51
47,06/12/14 12:36:00,853,,0.000,-0.199,4.51
48,06/12/14 12:37:00,861,,0.000,-0.199,4.51
49,06/12/14 12:38:00,861,,0.000,-0.199,4.49
50,06/12/14 12:39:00,817,,0.000,-0.199,4.51
51,06/12/14 12:40:00,511,,0.000,-0.199,4.51
52,06/12/14 12:41:00,868,,0.000,-0.199,4.51
53,06/12/14 12:42:00,884,,0.000,-0.199,4.51
54,06/12/14 12:43:00,803,,0.000,-0.199,4.51
55,06/12/14 12:44:00,236,,0.000,-0.199,4.51
56,06/12/14 12:45:00,894,,0.000,-0.199,4.51
57,06/12/14 12:46:00,901,,0.000,-0.199,4.51
58,06/12/14 12:47:00,913,,0.000,-0.199,4.51
59,06/12/14 12:48:00,378,,0.000,-0.199,4.49
60,06/12/14 12:49:00,907,,0.000,-0.199,4.50
61,06/12/14 12:50:00,902,,0.000,-0.199,4.51
62,06/12/14 12:51:00,914,,0.000,-0.199,4.51
63,06/12/14 12:52:00,927,,0.000,-0.199,4.51
64,06/12/14 12:53:00,938,,0.000,-0.199,4.51
65,06/12/14 12:54:00,229,,0.000,-0.199,4.51
66,06/12/14 12:55:00,198,,0.000,-0.199,4.51
67,06/12/14 12:56:00,939,,0.000,-0.199,4.51
68,06/12/14 12:57:00,892,,0.000,-0.199,4.51
69,06/12/14 12:58:00,933,,0.000,-0.199,4.50
70,06/12/14 12:59:00,968,,0.000,-0.199,4.50
71,06/12/14 13:00:00,622,,0.000,-0.199,4.50
72,06/12/14 13:01:00,943,,0.000,-0.199,4.51
73,06/12/14 13:02:00,957,,0.000,-0.199,4.51
74,06/12/14 13:03:00,956,,0.000,-0.199,4.51
75,06/12/14 13:04:00,903,,0.000,-0.199,4.51
76,06/12/14 13:05:00,227,,0.000,-0.199,4.51
77,06/12/14 13:06:00,221,,0.000,-0.199,4.54
78,06/12/14 13:07:00,921,,0.000,-0.199,4.54
79,06/12/14 13:08:00,254,,0.000,-0.199,4.51
80,06/12/14 13:09:00,941,,0.000,-0.199,4.50
81,06/12/14 13:10:00,286,,0.000,-0.199,4.51
82,06/12/14 13:11:00,231,,0.000,-0.199,4.51
83,06/12/14 13:12:00,892,,0.000,-0.199,4.51
84,06/12/14 13:13:00,842,,0.000,-0.199,4.51
85,06/12/14 13:14:00,939,,0.000,-0.199,4.51
86,06/12/14 13:15:00,969,,0.000,-0.199,4.51
87,06/12/14 13:16:00,966,,0.000,-0.199,4.51
88,06/12/14 13:17:00,252,,0.000,-0.199,4.51
89,06/12/14 13:18:00,934,,0.000,-0.199,4.51
90,06/12/14 13:19:00,312,,0.000,-0.199,4.49
91,06/12/14 13:20:00,272,,0.000,-0.199,4.50
92,06/12/14 13:21:00,272,,0.000,-0.199,4.51
93,06/12/14 13:22:00,258,,0.000,-0.199,4.51
94,06/12/14 13:23:00,967,,0.000,-0.199,4.51
95,06/12/14 13:24:00,286,,0.000,-0.199,4.51
96,06/12/14 13:25:00,236,,0.000,-0.199,4.51
97,06/12/14 13:26:00,922,,0.000,-0.199,4.51
98,06/12/14 13:27:00,933,,0.000,-0.199,4.51
99,06/12/14 13:28:00,938,,0.000,-0.199,4.44
100,06/12/14 13:29:00,929,,0.000,-0.199,4.48
101,06/12/14 13:30:00,932,,0.000,-0.199,4.50
102,06/12/14 13:31:00,927,,0.000,-0.199,4.51
103,06/12/14 13:32:00,942,,0.000,-0.199,4.51
104,06/12/14 13:33:00,953,,0.000,-0.199,4.51
105,06/12/14 13:34:00,959,,0.000,-0.199,4.51
106,06/12/14 13:35:00,939,,0.000,-0.199,4.51
107,06/12/14 13:36:00,259,,0.000,-0.199,4.51
108,06/12/14 13:37:00,946,,0.000,-0.199,4.51
109,06/12/14 13:38:00,958,,0.000,-0.199,4.51
110,06/12/14 13:39:00,811,,0.000,-0.199,4.51
111,06/12/14 13:40:00,328,,0.000,-0.199,4.50
112,06/12/14 13:41:00,249,,0.000,-0.199,4.51
113,06/12/14 13:42:00,241,,0.000,-0.199,4.51
114,06/12/14 13:43:00,249,,0.000,-0.199,4.51
115,06/12/14 13:44:00,699,,0.000,-0.199,4.51
116,06/12/14 13:45:00,969,,0.000,-0.199,4.51
117,06/12/14 13:46:00,228,,0.000,-0.199,4.51
118,06/12/14 13:47:00,204,,0.000,-0.199,4.51
119,06/12/14 13:48:00,202,,0.000,-0.199,4.51
120,06/12/14 13:49:00,202,,0.000,-0.199,4.51
121,06/12/14 13:50:00,957,,0.000,-0.199,4.48
122,06/12/14 13:51:00,948,,0.000,-0.199,4.50
123,06/12/14 13:52:00,953,,0.000,-0.199,4.51
124,06/12/14 13:53:00,936,,0.000,-0.199,4.51
125,06/12/14 13:54:00,957,,0.000,-0.199,4.51
126,06/12/14 13:55:00,934,,0.000,-0.199,4.51
127,06/12/14 13:56:00,971,,0.000,-0.199,4.51
128,06/12/14 13:57:00,969,,0.000,-0.199,4.51
129,06/12/14 13:58:00,942,,0.000,-0.199,4.51
130,06/12/14 13:59:00,983,,0.000,-0.199,4.51
131,06/12/14 14:00:00,262,,0.000,-0.199,4.44
132,06/12/14 14:01:00,467,,0.000,-0.199,4.50
133,06/12/14 14:02:00,982,,0.000,-0.199,4.51
134,06/12/14 14:03:00,972,,0.000,-0.199,4.51
135,06/12/14 14:04:00,961,,0.000,-0.199,4.51
136,06/12/14 14:05:00,956,,0.000,-0.199,4.51
137,06/12/14 14:06:00,953,,0.000,-0.199,4.51
138,06/12/14 14:07:00,964,,0.000,-0.199,4.51
139,06/12/14 14:08:00,969,,0.000,-0.199,4.51
